JBS lab ID	T1 ID	T2 ID	HY T2 plant ID	Gene-ration	Batch ID	T-DNA insertion		Date harvested	Location stored	Date sown	Notes	
						Homo/Hetero	No. of insertions					
01	01	01	1-1-1	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	02	1-1-2	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	03	1-1-3	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	05	1-1-5	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	07	1-1-7	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	08	1-1-8	T3	1	Hetero 		2/26/06	"Box1, RT"	Apr 06		
01	01	09	1-1-9	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	10	1-1-10	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	11	1-1-11	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	12	1-1-12	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	13	1-1-13	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	14	1-1-14	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	15	1-1-15	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	16	1-1-16	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06		
01	01	17	1-1-17	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	18	1-1-18	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	19	1-1-19	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	20	1-1-20	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	21	1-1-21	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	22	1-1-22	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	23	1-1-23	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	24	1-1-24	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	26	1-1-26	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	27	1-1-27	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	28	1-1-28	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	29	1-1-29	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	30	1-1-30	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	31	1-1-31	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	32	1-1-32	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	33	1-1-33	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	34	1-1-34	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	35	1-1-35	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	01	36	1-1-36	T3	1	Hetero		2/26/06	"Box1, RT"	Apr 06	
01	06	01	1-6-1	T3	1	Hetero		02/28/06	"Box1, RT"	Aug 06	
01	06	02		T3	1	Homo		02/28/06	"Box1, RT"	Aug 06	
01	06	03		T3	1	Hetero		02/28/06	"Box1, RT"	Aug 06	
01	06	04		T3	1	Homo		02/28/06	"Box1, RT"	Aug 06	
01	06	05		T3	1	Hetero		02/28/06	"Box1, RT"	Aug 06	
01	06	06		T3	1	Hetero		02/28/06	"Box1, RT"	Aug 06	
01	06	07		T3	1	Hetero		02/28/06	"Box1, RT"	Aug 06	
01	06	08		T3	1	Homo		02/28/06	"Box1, RT"	Aug 06	
01	06	09		T3	1	Homo		02/28/06	"Box1, RT"	Aug 06	
01	06	10		T3	1	Hetero		02/28/06	"Box1, RT"	Aug 06	
01	06	11		T3	1			02/28/06	"Box1, RT"		
01	06	12		T3	1			02/28/06	"Box1, RT"		
01	06	13		T3	1			02/28/06	"Box1, RT"		
01	06	14		T3	1			02/28/06	"Box1, RT"		
01	06	15		T3	1			02/28/06	"Box1, RT"		
01	06	16		T3	1			02/28/06	"Box1, RT"		
01	06	17		T3	1			02/28/06	"Box1, RT"		
01	06	18		T3	1			02/28/06	"Box1, RT"		
01	06	19		T3	1			02/28/06	"Box1, RT"		
01	06	20		T3	1			02/28/06	"Box1, RT"		
01	06	21		T3	1			02/28/06	"Box1, RT"		
01	06	22		T3	1			02/28/06	"Box1, RT"		
01	06	23		T3	1			02/28/06	"Box1, RT"		
01	06	24		T3	1			02/28/06	"Box1, RT"		
01	06	25		T3	1			02/28/06	"Box1, RT"		
01	06	26		T3	1			02/28/06	"Box1, RT"		
01	06	27		T3	1			02/28/06	"Box1, RT"		
01	06	28		T3	1			02/28/06	"Box1, RT"		
01	06	29		T3	1			02/28/06	"Box1, RT"		
01	06	30		T3	1			02/28/06	"Box1, RT"		
01	06	31		T3	1			02/28/06	"Box1, RT"		
01	06	32		T3	1			02/28/06	"Box1, RT"		
01	06	34		T3	1			02/28/06	"Box1, RT"		
01	06	35		T3	1			02/28/06	"Box1, RT"		
01	13	01	1-13-1	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	02	1-13-2	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	04	1-13-04	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	06	1-13-06	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	07	1-13-07	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	08	1-13-08	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	09	1-13-09	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	11	1-13-11	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	12	1-13-12	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
01	13	13	1-13-13	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	14	1-13-14	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	16	1-13-16	T3	1	Hetero		03/13/06	"Box1, RT"	Apr 06	
01	13	17	1-13-17	T3	1	Homo		03/13/06	"Box1, RT"	Apr 06	
