Library	ID	Plate	Well	Raw Value	Score	Stdev
MS	L100218	AT001-01	A02	8161	1.203640468	790.2335098
MS	L101184	AT001-01	A03	4012.666667	0.791804384	278.0671382
MS	L112496	AT001-01	A04	5033.666667	1.061073563	577.8454234
MS	L112909	AT001-01	A05	5448.333333	1.022074868	416.4436737
MS	L113069	AT001-01	A06	5455.333333	0.80459012	214.2179575
MS	ST000001	AT001-01	A07	6026	1.18908786	183.5183914
MS	ST000104	AT001-01	A08	4489	0.946260359	182.8141132
MS	ST000177	AT001-01	A09	6126	1.149201097	483.7395994
MS	ST000424	AT001-01	A10	5025	0.741121597	75.62407024
MS	ST000489	AT001-01	A11	6043.333333	1.192508181	354.976525
MS	L100250	AT001-01	B02	6004.666667	1.265755855	305.2889342
MS	L101265	AT001-01	B03	6284	1.178840955	243.538498
MS	L112704	AT001-01	B04	8025.333333	1.183631414	359.1578112
MS	L112917	AT001-01	B05	6652	1.312614079	329.7590029
MS	L113085	AT001-01	B06	6217.333333	1.310585001	326.6226161
MS	ST000048	AT001-01	B07	5929.666667	1.112370133	295.8383568
MS	ST000110	AT001-01	B08	8223.666667	1.212882979	605.9540687
MS	ST000226	AT001-01	B09	6034.333333	1.190732245	605.1928067
MS	ST000429	AT001-01	B10	5001	1.054187582	174.1378764
MS	ST000530	AT001-01	B11	5508.333333	1.033330511	258.4595391
MS	L100749	AT001-01	C02	8670.333333	1.278760455	553.0229049
MS	L101575	AT001-01	C03	5741.666667	1.132981435	324.3059255
MS	L112836	AT001-01	C04	5786.666667	1.219802467	183.9302404
MS	L112925	AT001-01	C05	5072.333333	0.951539509	116.0229862
MS	L113107	AT001-01	C06	8054	1.187859371	1305.889735
MS	ST000064	AT001-01	C07	4973.666667	0.981434891	244.5492452
MS	ST000122	AT001-01	C08	5549.333333	1.169773702	192.4170817
MS	ST000307	AT001-01	C09	6852.333333	1.285456902	361.188778
MS	ST000432	AT001-01	C10	7550	1.113525981	957.4199705
MS	ST000532	AT001-01	C11	3152.666667	0.622103826	102.5101621
MS	L100773	AT001-01	D02	5242	1.104989263	184.8134194
MS	L101621	AT001-01	D03	6817.333333	1.278891111	178.5114375
MS	L112852	AT001-01	D04	6548.333333	0.965793285	53.15386471
MS	L112933	AT001-01	D05	6035.666667	1.190995346	274.2340849
MS	L113115	AT001-01	D06	4955.666667	1.044631525	283.0942128
MS	ST000070	AT001-01	D07	6669	1.251064661	344.6868144
MS	ST000143	AT001-01	D08	4531.666667	0.6683614	280.8582086
MS	ST000308	AT001-01	D09	4161	0.821074441	176.1363109
MS	ST000441	AT001-01	D10	5350.333333	1.127825426	388.5001073
MS	ST000538	AT001-01	D11	6563.666667	1.231304756	291.1792117
MS	L100811	AT001-01	E02	7638.333333	1.126553989	486.0558953
MS	L101729	AT001-01	E03	5204.666667	1.02701725	229.521967
MS	L112860	AT001-01	E04	4523.666667	0.953567931	146.0045661
MS	L112941	AT001-01	E05	4834.666667	0.906954658	148.1935671
MS	L113123	AT001-01	E06	7731	1.140221107	1130.195116
MS	ST000072	AT001-01	E07	5454	1.076217256	576.6662813
MS	ST000145	AT001-01	E08	5018.666667	1.057911633	283.8773209
MS	ST000384	AT001-01	E09	5112.333333	0.95904327	88.79376855
MS	ST000445	AT001-01	E10	6857.666667	1.011415895	688.9632308
MS	ST000616	AT001-01	E11	5871.333333	1.158568069	595.6276801
MS	L100889	AT001-01	F02	6135	1.293229517	336.8219114
MS	L101745	AT001-01	F03	6647.333333	1.247000124	377.8919599
MS	L112879	AT001-01	F04	7239.666667	1.067755885	960.8539605
MS	L112976	AT001-01	F05	6018.333333	1.187575025	772.739499
MS	L113131	AT001-01	F06	5107.666667	1.07667242	148.7357836
MS	ST000076	AT001-01	F07	7640	1.433218475	346.4289249
MS	ST000166	AT001-01	F08	7616.666667	1.12335844	1094.147309
MS	ST000385	AT001-01	F09	5499.333333	1.085162712	160.9482318
MS	ST000455	AT001-01	F10	4781.666667	1.007953133	474.7845125
MS	ST000617	AT001-01	F11	4920.333333	0.923025214	261.5823643
MS	L100978	AT001-01	G02	8041	1.185942042	1094.366027
MS	L101907	AT001-01	G03	5316	1.048986236	0
MS	L112887	AT001-01	G04	4295	0.905366059	0
MS	L113018	AT001-01	G05	6244	1.171337194	0
MS	L113182	AT001-01	G06	7278.333333	1.073458711	560.5732185
MS	ST000083	AT001-01	G07	5626	1.110157368	813.5772858
MS	ST000168	AT001-01	G08	5960	1.256340329	412.265691
MS	ST000391	AT001-01	G09	5990	1.123688307	168.4369318
MS	ST000461	AT001-01	G10	6845	1.009547727	0
MS	ST000696	AT001-01	G11	6049	1.193626363	1369.719314
MS	L101001	AT001-01	H02	5398	1.137873338	238.5854145
MS	L112399	AT001-01	H03	6082.333333	1.14100949	106.2889144
MS	L112895	AT001-01	H04	7452	1.099072267	1288.048524
MS	L113026	AT001-01	H05	5631.333333	1.111209774	273.0299129
MS	L113204	AT001-01	H06	7267.666667	1.531990391	215.6300845
MS	ST000085	AT001-01	H07	5883	1.103615745	360.6508006
MS	ST000171	AT001-01	H08	7899.666667	1.165097229	1833.061465
MS	ST000392	AT001-01	H09	5823.333333	1.14909641	1014.016436
MS	ST000472	AT001-01	H10	3862	0.81409167	211.3953642
MS	ST000810	AT001-01	H11	5729	1.074726263	32.18695388
MS	L113271	AT002-01	A02	7492.333333	1.105020904	1717.656931
MS	L118095	AT002-01	A03	4983	0.983276602	500.0809934
MS	L119318	AT002-01	A04	4308.333333	0.908176664	385.9563879
MS	L119814	AT002-01	A05	4967.666667	0.931904666	333.9765461
MS	L119954	AT002-01	A06	7417.666667	1.09400855	1313.997844
MS	ST000892	AT002-01	A07	2920	0.57619259	285.2420025
MS	ST001070	AT002-01	A08	2696.666667	0.568444813	110.1196319
MS	ST001185	AT002-01	A09	2574.666667	0.482992125	251.7247174
MS	ST001273	AT002-01	A10	6516	0.961024542	751.0199731
MS	ST001350	AT002-01	A11	5338.666667	1.053458964	593.4512055
MS	L113670	AT002-01	B02	5488	1.15684492	261.8682875
MS	L118559	AT002-01	B03	6248.333333	1.172150101	130.008974
MS	L119563	AT002-01	B04	3827.333333	0.564481471	152.5133874
MS	L119830	AT002-01	B05	4860.333333	0.959071251	282.4789078
MS	L119962	AT002-01	B06	4278.333333	0.901852803	185.6672651
MS	ST000934	AT002-01	B07	4242.333333	0.795836454	332.7917267
MS	ST001072	AT002-01	B08	7198.333333	1.06165976	1064.451659
MS	ST001186	AT002-01	B09	5295.333333	1.044908161	458.7551998
MS	ST001274	AT002-01	B10	4648.333333	0.979847086	208.6727901
MS	ST001362	AT002-01	B11	6519.666667	1.223050618	520.2714035
MS	L115606	AT002-01	C02	6641.333333	0.979509565	787.332416
MS	L118567	AT002-01	C03	5531.666667	1.091542927	308.0021645
MS	L119571	AT002-01	C04	5011	1.056295535	253.9232167
MS	L119849	AT002-01	C05	5579	1.046587156	235.6628948
MS	L119970	AT002-01	C06	7098.666667	1.046960234	711.8604732
MS	ST000936	AT002-01	C07	5710	1.126732771	353.0892239
MS	ST001108	AT002-01	C08	3824.333333	0.806151711	229.3149217
MS	ST001239	AT002-01	C09	5698.333333	1.068973379	218.1108281
MS	ST001287	AT002-01	C10	7385	1.089190645	730.4621825
MS	ST001365	AT002-01	C11	5963.333333	1.176722082	684.2341217
MS	L115746	AT002-01	D02	5052.666667	1.065078675	160.7928274
MS	L118605	AT002-01	D03	5548	1.040771741	267.8133679
MS	L119768	AT002-01	D04	7780	1.147447965	377.9775126
MS	L119857	AT002-01	D05	5573.333333	1.099764853	1176.945765
MS	L120359	AT002-01	D06	5237.666667	1.104075816	62.81984824
MS	ST000951	AT002-01	D07	7464.666667	1.400326987	137.0012165
MS	ST001113	AT002-01	D08	7749.666667	1.142974196	1168.273227
MS	ST001251	AT002-01	D09	5559.333333	1.097002286	903.202266
MS	ST001291	AT002-01	D10	5941	1.252335217	88.45903006
MS	ST001367	AT002-01	D11	6245.666667	1.171649851	164.1472916
MS	L116831	AT002-01	E02	6062	0.894065496	751.9980053
MS	L118656	AT002-01	E03	5111.666667	1.00866591	348.9259711
MS	L119776	AT002-01	E04	5124.666667	1.080255941	224.0364554
MS	L119865	AT002-01	E05	5442	1.020886773	106.9719589
MS	L120588	AT002-01	E06	8088.333333	1.192923088	1623.333094
MS	ST001003	AT002-01	E07	5766.333333	1.137848815	429.083131
MS	ST001114	AT002-01	E08	4482.333333	0.944855056	165.8382746
MS	ST001260	AT002-01	E09	5299	0.994060825	268.9442321
